",sgSCR_pre_r1,sgSCR_pre_r2,sgSCR_pre_r3,MBD2KO_pre_r1,MBD2KO_pre_r2,MBD2KO_pre_r3,sgSCR_post_r1,sgSCR_post_r2,sgSCR_post_r3,MBD2KO_post_r1,MBD2KO_post_r2,MBD2KO_post_r3"
"292" ",\"AGPS,2249,3030,1916,2855,2114,2389,1866,2343,1745,1289,1530,1065\""
"293" ",\"AGRN,235,373,337,422,427,304,336,500,340,387,395,348\""
"294" ",\"AGTPBP1,922,1162,770,1251,895,963,747,874,576,700,764,568\""
"295" ",\"AGTR1,97,116,96,101,36,80,107,122,79,90,72,53\""
"296" ",\"AGTRAP,156,255,197,176,190,138,152,203,120,75,60,54\""
"297" ",\"AHCTF1,1425,1949,1276,1817,1414,1651,1256,1685,1101,790,888,680\""
"298" ",\"AHCY,883,1246,906,1193,1271,1031,656,932,480,437,612,561\""
"299" ",\"AHCYL1,1527,2201,1651,1840,1639,1519,1140,1436,1062,744,830,620\""
"300" ",\"AHCYL2,131,182,131,180,128,122,87,99,101,42,57,27\""
"301" ",\"AHDC1,18,29,16,25,25,27,17,24,12,14,24,13\""
"302" ",\"AHI1,826,999,709,755,540,633,1221,1698,1094,666,728,518\""
"303" ",\"AHNAK,19954,27270,19807,14054,11251,10612,4342,5269,3728,567,645,509\""
"304" ",\"AHNAK2,1220,1794,1542,1997,1555,1233,629,813,566,279,291,228\""
"305" ",\"AHR,114,163,113,145,104,146,59,77,52,42,54,39\""
"306" ",\"AHRR,2,7,3,16,13,10,6,11,8,13,14,11\""
"307" ",\"AHSA1,1203,1690,1240,1716,1405,1575,904,1161,878,524,621,497\""
"308" ",\"AHSA2P,843,1097,896,957,735,756,645,852,636,473,558,386\""
"309" ",\"AHSP,1322,1854,1362,2177,1859,1703,2485,3527,2111,3260,3746,2965\""
"310" ",\"AIDA,465,737,524,686,585,559,614,710,580,672,811,582\""
"311" ",\"AIFM1,610,959,666,898,784,743,540,710,438,419,501,329\""
"312" ",\"AIFM1P1,13,32,31,37,16,33,19,21,35,17,16,12\""
"313" ",\"AIFM2,132,205,166,226,186,161,229,264,189,96,110,104\""
"314" ",\"AIG1,970,1280,819,1073,842,807,471,555,389,195,202,137\""
"315" ",\"AIMP1,718,1039,652,1102,760,790,821,1085,766,715,785,525\""
"316" ",\"AIMP2,183,291,215,285,269,216,162,217,166,139,187,149\""
"317" ",\"AIP,85,114,86,114,151,74,62,91,66,47,57,55\""
"318" ",\"AIRN,10,9,4,14,9,9,7,18,9,9,13,7\""
"319" ",\"AJM1,136,157,164,210,226,164,134,258,130,150,171,136\""
"320" ",\"AK1,3,6,0,11,14,9,8,7,4,8,12,9\""
